,worker,true_prob_idx,coords,h1Gd_lit,H_lit,KL_lit,dGh1_lit,h1Gd_prag,H_prag,KL_prag,dGh1_prag,log dGh1_lit,log dGh1_prag
411,A1EN3FW93BSXQQ,83,"(1, 4)",0.5,0.6931471805599453,0.4054651081081644,0.03571428571428571,0.9975921493536567,0.01692193102017276,0.38119610057477016,0.03573365027108356,-3.332204510175204,-3.331662449526287
412,A1EN3FW93BSXQQ,83,"(4, 3)",0.5,0.6931471805599453,0.0,0.017857142857142856,1.0,4.621701782765319e-18,0.0024107541804982723,0.017857142857142856,-4.02535169073515,-4.02535169073515
413,A1EN3FW93BSXQQ,84,"(4, 0)",0.25,1.3862943611198906,0.0,0.05555555555555555,0.186380861888676,1.3291311221839899,0.05716323893590082,0.03388742943430473,-2.890371757896165,-3.3847111465112816
414,A1EN3FW93BSXQQ,84,"(4, 2)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.006535947712418301,0.024081829327171473,0.19966839594603525,0.9643812452181244,0.0004799901873054366,-5.030437921392435,-7.641744897384974
415,A1EN3FW93BSXQQ,84,"(1, 0)",0.5,0.6931471805599453,0.4054651081081644,0.0012254901960784314,1.3786850499534524e-18,5.66989762094414e-17,0.04206314656809116,8.355732132972295e-21,-6.704414354964107,-46.231339166543165
416,A1EN3FW93BSXQQ,85,"(4, 2)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.38196601125010504,1.07602235241001,0.3102720087098805,0.09549150281252626,-2.0794415416798357,-2.348718011239098
417,A1EN3FW93BSXQQ,85,"(1, 2)",0.3333333333333333,1.0986122886681096,0.0,0.03571428571428571,0.4660661147959469,0.8941931066211193,0.10088931715889861,0.021184823400641328,-3.332204510175204,-3.854470230994941
418,A1EN3FW93BSXQQ,85,"(5, 1)",0.5,0.6931471805599453,0.4054651081081644,0.017857142857142856,1.0,1.3131301098069343e-15,0.7634277776755931,0.018518518518518517,-4.02535169073515,-3.9889840465642745
419,A1EN3FW93BSXQQ,90,"(0, 0)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.0625,0.6107680607568781,0.9301194045062982,0.45617495661359264,0.06786311786187536,-2.772588722239781,-2.6902625751778997
420,A1EN3FW93BSXQQ,90,"(5, 5)",0.3333333333333333,1.0986122886681096,0.0,0.008333333333333333,0.9999996933726428,5.041059783884013e-06,0.49303327122401985,0.00833333374533969,-4.787491742782046,-4.787491693341284
421,A1EN3FW93BSXQQ,90,"(0, 5)",0.3333333333333333,1.0986122886681096,0.0,0.0017857142857142857,1.0,1.413246380043568e-22,3.0662740419738763e-07,0.0017857142857142857,-6.327936783729195,-6.327936783729195
422,A1EN3FW93BSXQQ,91,"(5, 0)",0.25,1.3862943611198906,0.0,0.041666666666666664,0.1580569249055474,1.2195413171262708,0.16675304399361973,0.017561880545060825,-3.1780538303479458,-4.042024603965836
423,A1EN3FW93BSXQQ,91,"(0, 3)",0.5,0.6931471805599453,0.6931471805599453,0.0036231884057971015,0.38711511388163167,0.6674401346295057,1.0419863390334658,0.002471733130565273,-5.62040086571715,-6.0028357021055285
424,A1EN3FW93BSXQQ,92,"(0, 1)",0.5,0.6931471805599453,0.6931471805599453,0.07142857142857142,0.8913477105916958,0.34368831316298337,1.0426060479569073,0.10804337014660133,-2.639057329615259,-2.225222557036257
425,A1EN3FW93BSXQQ,92,"(5, 4)",1.0,0.0,0.6931471805599453,0.01098901098901099,1.0,0.0,0.11502068006044804,0.014598540158776485,-4.51085950651685,-4.226833744391991
426,A1EN3FW93BSXQQ,92,"(0, 4)",1.0,0.0,0.0,0.0027472527472527475,1.0,0.0,0.0,0.0032894712871251214,-5.8971538676367405,-5.71702843012045
427,A1HKYY6XI2OHO1,55,"(2, 2)",0.25,1.3862943611198906,0.0,0.25,0.9999974698529549,3.513673977535948e-05,1.386259224380115,0.25,-1.3862943611198906,-1.3862943611198906
428,A1HKYY6XI2OHO1,55,"(3, 3)",0.25,1.3862943611198906,0.0,0.16666666666666666,1.0,6.717853508272095e-34,2.5301502461451006e-06,0.16666666666666666,-1.791759469228055,-1.791759469228055
429,A1HKYY6XI2OHO1,59,"(1, 3)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.0625,0.13148290855938616,0.3891959640008945,0.9970983971189961,0.024653045363075915,-2.772588722239781,-3.702854841983376
430,A1HKYY6XI2OHO1,59,"(0, 3)",0.5,0.6931471805599453,0.4054651081081644,0.008333333333333333,1.0,1.7077623313514888e-27,2.028878408743956,0.014285714285714285,-4.787491742782046,-4.248495242049359
431,A1HKYY6XI2OHO1,59,"(4, 2)",0.5,0.6931471805599453,0.0,0.0017857142857142857,1.0,4.974926035177236e-38,-1.3525313781820477e-38,0.0022123893805309734,-6.327936783729195,-6.113682179832232
432,A1HKYY6XI2OHO1,59,"(3, 1)",0.5,0.6931471805599453,0.0,0.0005494505494505495,1.0,3.174907539169551e-51,-8.043910363211001e-52,0.000594883997620464,-7.506591780070841,-7.427144133408616
433,A1HKYY6XI2OHO1,60,"(4, 4)",0.5,0.6931471805599453,0.6931471805599453,0.08333333333333333,0.8571408113848444,0.41011998377761083,0.9761743773422797,0.14285669480611052,-2.4849066497880004,-1.9459132854174581
434,A1HKYY6XI2OHO1,60,"(1, 2)",0.5,0.6931471805599453,0.0,0.015151515151515152,0.9999999999964773,9.642327124360111e-11,0.15415306645767654,0.02352941177211674,-4.189654742026425,-3.74950407561541
435,A1HKYY6XI2OHO1,63,"(5, 3)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.05263157894736842,0.46116128246186794,1.02878170092954,0.35751266019035066,0.05270414657234602,-2.9444389791664407,-2.9430611439429217
436,A1HKYY6XI2OHO1,63,"(4, 4)",0.3333333333333333,1.0986122886681096,0.0,0.005847953216374269,0.5867141971758647,0.7167441424928933,0.15943930132041648,0.004639749352490661,-5.14166355650266,-5.3730949330628155
437,A1HKYY6XI2OHO1,63,"(3, 5)",0.5,0.6931471805599453,0.4054651081081644,0.0010319917440660474,0.6879121441850483,0.620761021027002,0.02776179370062941,0.0008318163648257148,-6.876264611890766,-7.091898856857992
438,A1HKYY6XI2OHO1,63,"(3, 3)",1.0,0.0,0.6931471805599453,0.00025799793601651185,1.0,0.0,0.3740941466082543,0.00027197704149704805,-8.262558973010657,-8.209792901491538
439,A1HKYY6XI2OHO1,67,"(2, 2)",0.25,1.3862943611198906,0.0,0.25,0.9851011005996229,0.09200214936546611,1.2942922117544244,0.25,-1.3862943611198906,-1.3862943611198906
